"legid";"accident_count";"geom_kml"
9579;1;"<LineString><coordinates>-104.940262820368773,39.885013919829731 -104.940293683504336,39.875338613016737 -104.940215238408328,39.856069641226533</coordinates></LineString>"
5131;1;"<LineString><coordinates>-104.843160663624872,39.725735917883576 -104.843174580814647,39.725089324119288 -104.843182714697448,39.724895810211123 -104.843183126401911,39.724872892633975 -104.843183822670582,39.724849979347432 -104.843184804652694,39.724827072159279 -104.843186072331108,39.72480417287084 -104.843196680219521,39.724689877697863 -104.843210281747531,39.72459880733151 -104.843214390072731,39.724576108541257 -104.843223452622524,39.724530807552682 -104.843257382721319,39.724395826696366 -104.843264016431675,39.724373486064493 -104.84330133451175,39.724262580654205 -104.843327024929394,39.724196748449558 -104.843336133441369,39.724174934119254 -104.843365080959344,39.724109912692903 -104.843375269180598,39.724088385400997 -104.843385723787407,39.724066934352251 -104.843407432064311,39.724024270890894 -104.843441977877291,39.723960900130081 -104.843518093865924,39.723836596312609 -104.843545512533126,39.723795940804401 -104.843559600063699,39.723775768275523 -104.843573938545035,39.723755700724524 -104.843588526793809,39.723735739946186 -104.843603362443417,39.723715889529927 -104.843618445502258,39.723696148575051 -104.843697502247707,39.723599178099931 -104.84373079848281,39.723561231288585 -104.843747800602898,39.723542443144652 -104.843765035949758,39.723523784197248 -104.84378250219909,39.723505253532714 -104.843800196992831,39.723486853839823 -104.843818121497236,39.723468585124976 -104.844024901696343,39.72327820544055 -104.844291405676131,39.723095660142157 -104.844477709485048,39.722994459144076 -104.844734875210804,39.722866388647546 -104.845071602757258,39.722725128583946 -104.845372515810723,39.722638196118716 -104.845717368397487,39.722571954762799 -104.846061901493528,39.722539790977365 -104.846370877138654,39.722534691651425 -104.846794526520128,39.72253704472687 -104.847200402613481,39.72253176247083 -104.847283039829207,39.722533180235821 -104.847346196127106,39.722539044428459</coordinates></LineString>"
12054;1;"<LineString><coordinates>-105.282105505868714,40.036417429344255 -105.282091679630227,40.0390888859367</coordinates></LineString>"
7999;1;"<LineString><coordinates>-105.063436224377597,39.843872953502341 -105.063551531507244,39.843995196193283 -105.063964706605034,39.84439511136847 -105.064005386417563,39.844425872701663 -105.064516005283565,39.844812001811754 -105.064784029026555,39.844956556008626 -105.065294250013054,39.845231731706527 -105.06534565360694,39.845250774312788 -105.066035444330666,39.845506313046151 -105.066882986746364,39.845699176783228</coordinates></LineString>"
14437;1;"<LineString><coordinates>-104.931729502921542,39.775920542819236 -104.931742091661846,39.775922235255628 -104.932743916730729,39.776059612272682 -104.933819899089372,39.77616594461562 -104.935490589419857,39.776265217249062 -104.937949201035352,39.776185729820313 -104.940253545424781,39.776081104602135 -104.941368547694779,39.775992472523789 -104.941678176492928,39.775914463692018 -104.941885150610972,39.775792615649223 -104.942083104541837,39.775627373583433 -104.942272040323232,39.775418736642486 -104.942565638219563,39.775001063733704 -104.942755202657949,39.774712951362609 -104.942860036553967,39.77448223986363 -104.942911175524927,39.774264977846961 -104.942928790935596,39.77290023781282 -104.942845384529264,39.772791464829105 -104.942860391584802,39.765713074043383</coordinates></LineString>"
12950;1;"<LineString><coordinates>-105.08361167110894,40.200673145555569 -105.083568737359769,40.20066887311291 -105.083293103499642,40.200664105693015 -105.082675549065812,40.200663594290269 -105.08253677843031,40.200670642492938 -105.082309434133634,40.200672566977829 -105.082157299302949,40.200669615406305 -105.081921100413524,40.20065606541781 -105.081758355538398,40.200632143106382 -105.081607335876399,40.200593507453007 -105.081474360449036,40.200531604558812 -105.081353903020045,40.200471803366753 -105.081172910846689,40.200358941011558 -105.081139925295872,40.200337889806903 -105.081019576086959,40.200260589427181 -105.080835064654607,40.200138104064095 -105.080704896538421,40.200056651573604 -105.080695983300885,40.200050784852159 -105.080613090328114,40.199995238273445 -105.080396497419585,40.199850675679166 -105.080059565461909,40.199627438075893 -105.079921387135826,40.199539091865233 -105.079842893848351,40.19949591415704 -105.079708989718682,40.199439838416829 -105.079688443601484,40.199433587261254 -105.079649141033784,40.19942109128921 -105.079572296601796,40.199400909670516 -105.079538355928975,40.199389805036645 -105.079515121218094,40.199384230482607 -105.079492778092884,40.199379002175419 -105.079469538072743,40.19937411376727 -105.079447191986063,40.199369571614689 -105.079423949900871,40.199365026277142 -105.079400704850173,40.199361167098154 -105.079377458627761,40.199357307910475 -105.079354210336191,40.199353791797769 -105.079337218717114,40.199351671144306 -105.079313966285767,40.199348841182719 -105.079290711778825,40.199346355196568 -105.07926656127789,40.19934386512341 -105.079243303809648,40.199342064390692 -105.079220043090487,40.19934060762921 -105.079195886376709,40.199339146780183 -105.079172623586999,40.199338033088942 -105.079148460656995,40.199337601468827 -105.079125194897244,40.199337173931482 -105.079103714369666,40.199337095818855 -105.079024057766276,40.199337492667368 -105.078994532102939,40.199336011798863 -105.078978099493995,40.199335443907657</coordinates></LineString>"
5601;1;"<LineString><coordinates>-105.053237037828936,39.754849896019586 -105.047780958455718,39.754861218476044 -105.039325214096991,39.754860857470241</coordinates></LineString>"
11782;1;"<LineString><coordinates>-105.263130733703292,40.029173742601486 -105.262007028724369,40.029177076472109 -105.261921963756606,40.029177749852003 -105.261668558899729,40.029179754322747 -105.261403083795003,40.029181245778275 -105.260021907383504,40.029165807055975 -105.259089586252117,40.029135863130328 -105.258401746889021,40.02910308796281 -105.257555700693459,40.029084059144921 -105.256879977004033,40.029098971016161 -105.256030809453534,40.029104035501426 -105.25521390870361,40.029113098867498 -105.254423011743853,40.029179525750919 -105.254201324136204,40.029189183529141 -105.253675180518783,40.02919167132216</coordinates></LineString>"
12061;1;"<LineString><coordinates>-105.291315933934044,40.039038344333264 -105.286794029667362,40.039071473211564 -105.285140727326009,40.039073569195232 -105.284120545303779,40.039077180183632 -105.282091679630227,40.0390888859367</coordinates></LineString>"
14391;1;"<LineString><coordinates>-104.865871360884057,39.782334929641124 -104.856592203232694,39.782356060881618 -104.847188977039181,39.782435334473689</coordinates></LineString>"
